country_code,year,cpi
VNM,2011,
VNM,2012,0.7342521829899431
VNM,2013,
VNM,2014,0.8290048801243804
VNM,2015,
VNM,2016,0.8434574836794156
VNM,2017,
VNM,2018,0.9109716145100264
VNM,2019,
VNM,2020,0.9943717253352532
VNM,2021,
VNM,2022,1.0038351244047714
VNM,2023,
VNM,2024,
VUT,2000,
VUT,2001,
VUT,2002,
VUT,2003,
VUT,2004,
VUT,2005,
VUT,2006,
VUT,2007,
VUT,2008,
VUT,2009,
VUT,2010,0.7919984453796676
VUT,2011,
VUT,2012,
VUT,2013,
VUT,2014,
VUT,2015,
VUT,2016,
VUT,2017,
VUT,2018,
VUT,2019,0.9380472509844008
VUT,2020,
VUT,2021,
VUT,2022,
VUT,2023,
VUT,2024,
WSM,2000,
WSM,2001,
WSM,2002,0.5397937422758521
WSM,2003,
WSM,2004,
WSM,2005,
WSM,2006,
WSM,2007,
WSM,2008,0.7820409849496471
WSM,2009,
WSM,2010,
WSM,2011,
WSM,2012,
WSM,2013,0.9044749024290402
WSM,2014,
WSM,2015,
WSM,2016,
WSM,2017,
WSM,2018,
WSM,2019,
WSM,2020,
WSM,2021,
WSM,2022,
WSM,2023,
WSM,2024,
