country_code,year,pce
PHL,2011,1776.34289521958
PHL,2012,1860.6244784853
PHL,2013,1932.23032848493
PHL,2014,2010.69415690209
PHL,2015,2108.85826256115
PHL,2016,2229.51373156455
PHL,2017,2332.09524396675
PHL,2018,2436.22575046033
PHL,2019,2547.98043938988
PHL,2020,2318.53775115645
PHL,2021,2394.39904978791
PHL,2022,2573.21611321314
PHL,2023,2693.80305972909
PHL,2024,2801.42616663915
SLB,2000,
SLB,2001,
SLB,2002,
SLB,2003,1061.11541967734
SLB,2004,1102.12046035954
SLB,2005,1179.75908120629
SLB,2006,1206.6553417304
SLB,2007,1277.11400729769
SLB,2008,1306.86650121977
SLB,2009,1265.8036716939
SLB,2010,1334.34099704573
SLB,2011,1338.61685107757
SLB,2012,1329.5779288808
SLB,2013,1319.70875343248
SLB,2014,1313.39799588567
SLB,2015,1297.84575763216
SLB,2016,1295.65362026194
SLB,2017,1252.73611810062
SLB,2018,1301.23236169194
SLB,2019,1295.6287431064
SLB,2020,1089.0600276982
SLB,2021,1045.68274838196
SLB,2022,1060.44020914806
SLB,2023,
SLB,2024,
THA,2000,1901.38018911176
THA,2001,1993.12796271104
THA,2002,2096.86950076628
THA,2003,2230.03225657931
THA,2004,2374.31415379336
THA,2005,2452.86802219537
THA,2006,2500.72624169258
THA,2007,2510.36126682317
THA,2008,2561.73655775057
THA,2009,2520.02068814478
THA,2010,2639.6318237561
THA,2011,2671.37876057777
THA,2012,2849.55243223438
THA,2013,2859.89308943111
THA,2014,2859.94051007964
THA,2015,2920.92486372928
THA,2016,2991.54266946198
THA,2017,3070.90244454868
THA,2018,3201.65543669443
THA,2019,3321.82389598862
THA,2020,3290.38967906256
THA,2021,3306.27992536403
THA,2022,3510.09110223362
THA,2023,3752.79103432361
THA,2024,3920.11109148121
TLS,2000,1006.22678126611
TLS,2001,1045.94908704104
TLS,2002,950.502127601492
TLS,2003,849.510949112096
TLS,2004,856.071959822361
TLS,2005,825.757161943708
TLS,2006,707.576103551414
TLS,2007,727.951345870041
TLS,2008,668.559678195789
TLS,2009,737.450202213487
TLS,2010,747.139937253326
TLS,2011,738.95498767347
TLS,2012,734.529489772091
TLS,2013,768.484717721229
TLS,2014,795.523998162286
TLS,2015,766.465886281242
TLS,2016,781.304017220381
TLS,2017,789.45189074405
TLS,2018,790.434018647935
TLS,2019,812.997398045267
TLS,2020,784.433729270248
TLS,2021,751.702602472782
TLS,2022,845.10153034956
TLS,2023,864.489419094031
TLS,2024,
TON,2000,147.27953034372553
TON,2001,1828.8205629319991
TON,2002,3542.095254850865
TON,2003,3523.0642825477853
TON,2004,3412.66591572815
TON,2005,3414.3017881897604
TON,2006,3467.554088400645
TON,2007,3508.5184795115347
TON,2008,3551.49747101613
TON,2009,3443.13329471034
TON,2010,3380.8304805962853
TON,2011,3400.967583120975
TON,2012,3458.3296601954758
TON,2013,3577.97785473483
TON,2014,3755.665033955865
TON,2015,4024.4785403575
TON,2016,4178.33506885372
TON,2017,4290.64394796201
TON,2018,4403.6880999585
TON,2019,4465.119012431015
TON,2020,4786.07899704665
TON,2021,4543.73393847988
TON,2022,4652.854717649935
TON,2023,
TON,2024,
VNM,2000,698.535823783014
VNM,2001,722.139750923544
VNM,2002,769.302134591335
VNM,2003,822.661744463591
VNM,2004,872.522555615667
VNM,2005,927.207546825185
VNM,2006,983.338966800829
VNM,2007,1060.58990099741
VNM,2008,1121.24174597107
VNM,2009,1129.46338130452
VNM,2010,1208.01982428177
VNM,2011,1257.71592530496
VNM,2012,1303.86044900408
VNM,2013,1355.56667726479
VNM,2014,1423.30860866042
VNM,2015,1529.33937267271
VNM,2016,1607.59975033856
VNM,2017,1702.03780766968
VNM,2018,1799.43141796785
VNM,2019,1907.19316863785
VNM,2020,1896.76740474564
VNM,2021,1921.17036581274
VNM,2022,2057.05698178473
VNM,2023,2113.39556425954
VNM,2024,
VUT,2000,
VUT,2001,
VUT,2002,1808.55483202273
VUT,2003,1807.35423455169
VUT,2004,1803.56431644237
VUT,2005,1805.36147912527
VUT,2006,1813.81667594164
VUT,2007,1792.64107564252
VUT,2008,1806.8873930451
VUT,2009,1812.66649980769
VUT,2010,1818.92641376484
VUT,2011,1835.43198063212
VUT,2012,1849.98540609422
VUT,2013,1870.46462771424
VUT,2014,1911.600732601
VUT,2015,1880.68969093452
VUT,2016,1999.14396076673
VUT,2017,1916.70933924051
VUT,2018,1933.4505450664
VUT,2019,1897.93126889867
VUT,2020,1994.66362001591
VUT,2021,2063.0843384238
VUT,2022,2180.29963690309
VUT,2023,
VUT,2024,
WSM,2000,
WSM,2001,
WSM,2002,
WSM,2003,
WSM,2004,
WSM,2005,
WSM,2006,
WSM,2007,
WSM,2008,
WSM,2009,2870.791862332905
WSM,2010,2856.234018080545
WSM,2011,2804.152720644875
WSM,2012,2797.654010107225
WSM,2013,2842.74265571079
WSM,2014,2831.867980688335
WSM,2015,2893.28292741866
WSM,2016,3003.668923420325
WSM,2017,2990.3413924727147
WSM,2018,2926.73287608145
WSM,2019,2952.96682959522
WSM,2020,3119.693909423215
WSM,2021,3179.95084203734
WSM,2022,3157.60777672821
WSM,2023,3371.149426080905
WSM,2024,
