country_code,year,gdp
FSM,2007,2852.64628409451
FSM,2008,2833.2441214138425
FSM,2009,2894.8329489285925
FSM,2010,2974.531146497168
FSM,2011,3026.25303893201
FSM,2012,2950.73633182092
FSM,2013,2845.6201319060524
FSM,2014,2820.868107794095
FSM,2015,2912.2783747495523
FSM,2016,2918.9010705647825
FSM,2017,2925.8715720930627
FSM,2018,2944.5190504346774
FSM,2019,3009.2139280724127
FSM,2020,2976.5781306289127
FSM,2021,3005.61307203837
FSM,2022,2930.0723545727724
FSM,2023,2932.3636263803346
FSM,2024,2956.9999897060484
IDN,2000,1828.10265968361
IDN,2001,1868.59172307292
IDN,2002,1926.37435868149
IDN,2003,1991.91820506473
IDN,2004,2065.70617470842
IDN,2005,2155.4478015921
IDN,2006,2244.0802226202
IDN,2007,2355.1528565328
IDN,2008,2464.60193418272
IDN,2009,2546.21969707767
IDN,2010,2670.8129098953
IDN,2011,2799.62468790318
IDN,2012,2930.518445323
IDN,2013,3055.24246006469
IDN,2014,3170.72103011429
IDN,2015,3288.22269725538
IDN,2016,3416.81005170972
IDN,2017,3553.51999262321
IDN,2018,3701.32155461912
IDN,2019,3850.90321738979
IDN,2020,3739.44906563161
IDN,2021,3850.68877253903
IDN,2022,4024.91225288391
IDN,2023,4192.65167890692
IDN,2024,4367.86266621191
JPN,2000,31430.631130325
JPN,2001,31476.0520665746
JPN,2002,31416.1241772309
JPN,2003,31830.217584972
JPN,2004,32515.1158024695
JPN,2005,33098.5474664881
JPN,2006,33531.518563066
JPN,2007,33990.0360341367
JPN,2008,33557.6454041595
JPN,2009,31651.0837739562
JPN,2010,32942.2020783835
JPN,2011,33011.1342301291
JPN,2012,33518.4449368599
JPN,2013,34239.8862473488
JPN,2014,34386.9058552671
JPN,2015,34960.6393843385
JPN,2016,35242.199377148
JPN,2017,35861.9728545672
JPN,2018,36138.5290824814
JPN,2019,36043.7844013518
JPN,2020,34642.9718743239
JPN,2021,35741.1601062924
JPN,2022,36238.3294895302
JPN,2023,36952.5150709861
JPN,2024,37144.9142660116
KIR,2000,1555.58204812097
KIR,2001,1477.95177621217
KIR,2002,1467.99273241655
KIR,2003,1415.54577869304
KIR,2004,1378.9583696722
KIR,2005,1368.99728765793
KIR,2006,1419.38723031361
KIR,2007,1433.35747805619
KIR,2008,1361.83599775608
KIR,2009,1340.27605600221
KIR,2010,1328.78776438805
KIR,2011,1348.0602369873
KIR,2012,1405.5029344967
KIR,2013,1493.49148676402
KIR,2014,1492.8508200481
KIR,2015,1639.85274740652
KIR,2016,1731.43702001694
KIR,2017,1769.51178893032
KIR,2018,1803.94853904977
KIR,2019,1835.2200203881
KIR,2020,1777.04492498977
KIR,2021,1893.52679117878
KIR,2022,1948.24330263386
KIR,2023,1968.80992017133
KIR,2024,2041.87624139757
KOR,2000,16995.5591864626
KOR,2001,17684.0503773277
KOR,2002,18940.3842233935
KOR,2003,19435.4934104303
KOR,2004,20364.7599656771
KOR,2005,21197.1990880347
KOR,2006,22196.2077459266
KOR,2007,23365.1402064812
KOR,2008,23887.0595538423
KOR,2009,23952.8132191069
KOR,2010,25455.6174843658
KOR,2011,26191.6442615421
KOR,2012,26680.275444870505
KOR,2013,27399.6159477521
KOR,2014,28100.0102759544
KOR,2015,28737.4391706499
KOR,2016,29467.124342556
KOR,2017,30312.8888500809
KOR,2018,31059.2668087927
KOR,2019,31645.9498343307
KOR,2020,31378.1579340648
KOR,2021,32771.0724243229
KOR,2022,33690.3788793046
KOR,2023,34121.0211756766
KOR,2024,34786.15798151364
LAO,2000,917.228038617529
LAO,2001,954.123505414634
LAO,2002,994.492241963795
LAO,2003,1038.71192767783
LAO,2004,1088.76034728831
LAO,2005,1148.68153852071
LAO,2006,1228.08927619923
LAO,2007,1301.08597549864
LAO,2008,1381.73754223953
LAO,2009,1463.3379666846
LAO,2010,1564.91068311647
LAO,2011,1666.40086189871
LAO,2012,1774.63585203672
LAO,2013,1890.27861294875
LAO,2014,2006.31195444447
LAO,2015,2121.01339097363
LAO,2016,2234.76098741846
LAO,2017,2351.57441747595
LAO,2018,2459.97874636195
LAO,2019,2554.95638019245
LAO,2020,2529.74622698761
LAO,2021,2556.58912640405
LAO,2022,2589.05015191628
LAO,2023,2648.88726608035
LAO,2024,2724.42462675419
MHL,2000,3086.645377636877
MHL,2001,3249.196212046803
MHL,2002,3306.051569747845
MHL,2003,3251.267495482557
MHL,2004,3246.810497172497
MHL,2005,3284.868221459215
MHL,2006,3314.710197855425
MHL,2007,3339.1742639995227
MHL,2008,3175.263717879628
MHL,2009,3307.03188752138
MHL,2010,3439.2549075205025
MHL,2011,3430.0258455054623
MHL,2012,3466.4178657297725
MHL,2013,3607.389277472108
MHL,2014,3656.6656301974326
MHL,2015,3809.96929944826
MHL,2016,4007.8669796545546
MHL,2017,4278.786749211886
MHL,2018,4697.46095604818
MHL,2019,5165.25507556805
MHL,2020,5230.750145596469
MHL,2021,5433.176053422568
MHL,2022,5505.265021618609
MHL,2023,5556.191636548805
MHL,2024,6009.46528451516
MMR,2000,306.1863165567842
MMR,2001,337.9443545798663
MMR,2002,376.5165411748375
MMR,2003,424.45660702027226
MMR,2004,478.02248798266425
MMR,2005,538.0960535703504
MMR,2006,602.4966176681305
MMR,2007,667.4524029220355
MMR,2008,732.374027552477
MMR,2009,802.9592593724292
MMR,2010,865.0774931996166
MMR,2011,909.915174543627
MMR,2012,971.0149626257036
MMR,2013,1043.3289229246525
MMR,2014,1116.116171991585
MMR,2015,1181.394576525
MMR,2016,1241.6753773466426
MMR,2017,1308.315145852975
MMR,2018,1381.423705072735
MMR,2019,1406.0708776521724
MMR,2020,1260.2343127653526
MMR,2021,1146.4384902704371
MMR,2022,1175.51685870707
MMR,2023,1172.9446925860425
MMR,2024,1153.999156995215
MNG,2000,1598.31282040605
MNG,2001,1625.46152259484
MNG,2002,1680.65335337555
MNG,2003,1775.64906676137
MNG,2004,1942.36263694017
MNG,2005,2060.26168223171
MNG,2006,2209.74321787628
MNG,2007,2403.72416258662
MNG,2008,2576.71295838607
MNG,2009,2498.72967493254
MNG,2010,2611.67326563924
MNG,2011,3010.81642672623
MNG,2012,3318.16496597089
MNG,2013,3628.90708069575
MNG,2014,3830.35892049593
MNG,2015,3838.92126989984
MNG,2016,3817.91962716702
MNG,2017,3956.2049437134
MNG,2018,4183.85566447661
MNG,2019,4337.8167085432
MNG,2020,4066.03410882791
MNG,2021,4063.53669849245
MNG,2022,4205.88554513551
MNG,2023,4456.53627552726
MNG,2024,4615.43866164735
MYS,2000,6455.61419792583
MYS,2001,6334.92795651698
MYS,2002,6516.90671560155
MYS,2003,6732.92049458099
MYS,2004,7025.34558004381
MYS,2005,7234.02442689141
MYS,2006,7469.8106921211
MYS,2007,7769.59693350488
MYS,2008,7976.11785374773
MYS,2009,7700.46111294033
MYS,2010,8118.92270511981
MYS,2011,8400.32248683558
MYS,2012,8710.52671359902
MYS,2013,8964.80724896203
MYS,2014,9341.73055971278
MYS,2015,9648.6797937523
MYS,2016,9901.47960179812
MYS,2017,10293.7629205362
MYS,2018,10610.1950240479
MYS,2019,10902.9834855856
MYS,2020,10171.4657842762
MYS,2021,10388.2667120857
MYS,2022,11174.2100761842
MYS,2023,11429.5894122241
MYS,2024,11868.3647368199
NRU,2000,5895.411317893875
NRU,2001,5428.188738436675
NRU,2002,5169.462565436885
NRU,2003,5070.653953843501
NRU,2004,4952.481625300121
NRU,2005,5156.359038311145
NRU,2006,4773.9964684905
NRU,2007,4610.53773953806
NRU,2008,4895.35819211725
NRU,2009,4741.107042392715
NRU,2010,5056.691655125025
NRU,2011,6007.27968827097
NRU,2012,6671.36569451567
NRU,2013,7179.857512530485
NRU,2014,7676.260606185485
NRU,2015,7800.829600232565
NRU,2016,7603.804543730261
NRU,2017,7216.6994950087155
NRU,2018,7389.6305034948255
NRU,2019,7712.325174830796
NRU,2020,8025.886892848325
NRU,2021,8371.357289374246
NRU,2022,8461.16095989837
NRU,2023,8510.502819805635
NRU,2024,8494.144896799364
PHL,2000,1793.34761146436
PHL,2001,1807.70892524758
PHL,2002,1837.25429286854
PHL,2003,1892.82161995051
PHL,2004,1978.34489133113
PHL,2005,2037.8776605946
PHL,2006,2110.42044781284
PHL,2007,2209.34651083329
PHL,2008,2264.9462907288
PHL,2009,2256.72554835463
PHL,2010,2373.14312064664
PHL,2011,2416.75212064542
PHL,2012,2533.74141964959
PHL,2013,2654.41506933978
PHL,2014,2776.92005909479
PHL,2015,2909.85818010301
PHL,2016,3076.3374186759
PHL,2017,3247.4503878362
PHL,2018,3410.93647976109
PHL,2019,3575.88170922922
PHL,2020,3198.66690008413
PHL,2021,3350.97587587776
PHL,2022,3577.70136573244
PHL,2023,3744.69763802928
PHL,2024,3925.3048697218
PNG,2000,1989.57882204274
PNG,2001,1920.78003889393
PNG,2002,1854.41831737462
PNG,2003,1832.67870314447
PNG,2004,1821.84741071002
PNG,2005,1875.82273480514
PNG,2006,1915.2349405788
PNG,2007,2000.9726186689
PNG,2008,1934.03201558753
PNG,2009,2003.24109727039
PNG,2010,2140.50939027384
PNG,2011,2102.03192060639
PNG,2012,2139.48096660428
PNG,2013,2162.10592595591
PNG,2014,2391.3578028163
PNG,2015,2484.5963398603
PNG,2016,2557.09463030035
PNG,2017,2584.8883636271
PNG,2018,2518.45899317321
PNG,2019,2572.56177967896
PNG,2020,2438.61137922293
PNG,2021,2378.3716816549
